Date,Issuer,Coupon,Maturity,Spread,Curr,Outst,Book Mgr,Note,Identifier
06/08,VIRGIN MEDIA FIN,5.000,07/15/30,+433,USD,925,,INCREASE,BJ808779 Corp
06/08,KOREA ELEC PWR,1.125,06/15/25,+75,USD,500,,144A 99.695,BJ920124 Corp
06/08,FANNIE MAE,0.800,06/24/25,,USD,100,JOINT LEADS,5-NC1 BERINC,BJ883604 Corp
06/08,FED FARM CREDIT,1.120,06/15/27,,USD,75,"FHN,JPM,MS",7-NC1 CONT,BJ935956 Corp
06/08,FED FARM CREDIT,0.950,06/15/26,,USD,90,"FHN,JPM,MS",6-NC1 CONT,BJ935945 Corp
06/08,FED FARM CREDIT,1.040,06/15/26,,USD,330,"FHN,JPM,MS",6-NC3MO CONT,BJ935930 Corp
06/08,FED FARM CREDIT,FRN,01/18/22,,USD,200,MS-sole,0 06/18/20,BJ935867 Corp
06/08,FED HOME LN BANK,1.100,06/15/27,,USD,10,FHN-sole,7-NC1 CONT,BJ935406 Corp
06/08,OWEN FINANCIAL,VAR,06/05/35,,USD,6.5,PERTRU,15C 3MBERM,BJ933150 Corp
06/08,OWEN FINANCIAL,VAR,06/05/35,,USD,6.5,PERTRU,15C 3MBERM,BJ935014 Corp
06/08,FED HOME LN BANK,2.070,06/18/36,,USD,15,"AP,JVB",16-NC3MOCONT,BJ935359 Corp
06/08,FED HOME LN BANK,1.500,06/18/29,,USD,25,INCAP-sole,9-NC3MO CONT,BJ935358 Corp
06/08,JEFFERIES GROUP,5.000,06/10/35,,USD,20,BofA-sole,15C BERM MTN,BJ684901 Corp
06/05,FREDDIE MAC,0.510,06/16/23,,USD,150,RBCCM-sole,3-NC1 BERINC,BJ910248 Corp
06/05,FREDDIE MAC,0.810,06/17/25,,USD,25,"PIPR,RJA,VS",5-NC1 BERM,BJ911850 Corp
06/05,FREDDIE MAC,0.500,06/30/23,,USD,25,JOINT LEADS,3-NC1 1X,BJ911723 Corp
06/05,FREDDIE MAC,0.580,09/29/23,,USD,35,WFS-sole,3.25-NC6MINC,BJ911699 Corp
06/05,FREDDIE MAC,1.020,06/18/26,,USD,25,WFS-sole,6-NC6MO BERM,BJ911716 Corp
06/05,NMI HOLDINGS,7.375,06/01/25,+691,USD,400,,5C CONT 144A,BJ844817 Corp
06/05,FREDDIE MAC,FRN,12/09/21,,USD,710,JOINT LEADS,06/09/20,BJ910525 Corp
06/05,FREDDIE MAC,0.480,03/30/23,,USD,25,WFS-sole,2.75-NC6MBER,BJ910590 Corp
06/05,FED HOME LN BANK,1.970,06/25/35,,USD,50,JOINT LEADS,15-NC1   INC,BJ907957 Corp
06/05,FED HOME LN BANK,1.590,06/25/30,,USD,25,FHN-sole,10-NC1 CONT,BJ910449 Corp
06/05,FED HOME LN BANK,0.500,06/13/25,,USD,171.36,"RJA,WFS",5-NC     INC,BJ254636 Corp
06/05,FREDDIE MAC,0.420,12/09/22,,USD,50,"PIPR,RJA,VS",2.5-NC1 BERM,BJ910356 Corp
06/05,FED HOME LN BANK,1.750,06/14/24,,USD,61.64,NOM-sole,8-NC     INC,LW420495 Corp
06/05,FED HOME LN BANK,2.400,06/15/45,,USD,5,JVB-sole,25-NC1 CONT,BJ909794 Corp
06/05,FED HOME LN BANK,0.580,12/11/23,,USD,50,"BNYM,WFS",3.5-NC3MCONT,BJ909756 Corp
06/05,FED FARM CREDIT,0.580,06/17/24,,USD,60,JOINT LEADS,4-NC2 CONT,BJ909465 Corp
06/05,FREDDIE MAC,0.750,06/11/25,,USD,25,JOINT LEADS,5-NC1 1X,BJ908450 Corp
06/05,FED HOME LN BANK,0.860,06/11/25,,USD,35,NOM-sole,5-NC3MO CONT,BJ907874 Corp
06/05,FREDDIE MAC,0.850,06/16/25,,USD,25,FHN-sole,5-NC6MO BERM,BJ907812 Corp
06/05,FREDDIE MAC,0.500,06/09/23,,USD,175,"FHN,MS",3-NC6MO  INC,BJ886046 Corp
06/05,VAREX IMAGING CO,4.000,06/01/25,,USD,200,,06/09/20,BJ883555 Corp
06/05,ROYAL CARIBBEAN,4.250,06/15/23,,USD,1.15B,,144A,BJ883547 Corp
06/04,UNIVISION COMM,6.625,06/01/27,+599,USD,1.5B,,7C CONT 144A,BJ878364 Corp
06/04,BANK NT BUTTERFD,VAR,06/15/30,,USD,100,KBW,10C 3MBERM,BJ883572 Corp
06/04,L BRANDS INC,9.375,07/01/25,+897,USD,500,,5C CONT 144a,BJ882295 Corp
06/04,L BRANDS INC,6.875,07/01/25,+647,USD,750,,5C CONT 144A,BJ878470 Corp
06/04,BANKUNITED INC,5.125,06/11/30,+443.5,USD,300,JOINT LEADS,10C CONT,BJ879829 Corp
06/04,BANK NOVA SCOTIA,1.300,06/11/25,+95,USD,1000,JOINT LEADS,06/11/20,BJ878734 Corp
06/04,CROWN CASTLE INT,3.250,01/15/51,+165,USD,900,JOINT LEADS,31C CONT,BJ879158 Corp
06/04,CROWN CASTLE INT,2.250,01/15/31,+145,USD,1.1B,JOINT LEADS,11C CONT,BJ879157 Corp
06/04,CROWN CASTLE INT,1.350,07/15/25,+100,USD,500,JOINT LEADS,5C CONT,BJ879156 Corp
06/04,REINSURANCE GRP,3.150,06/15/30,+240,USD,600,JOINT LEADS,10C CONT,BJ879503 Corp
06/04,HORMEL FOODS CRP,1.800,06/11/30,+102,USD,1000,JOINT LEADS,10C CONT,BJ879321 Corp
06/04,ROYAL CARIBBEAN,9.125,06/15/23,+888,USD,1000,,3C CONT 144A,BJ877641 Corp
06/04,MASSMUTUAL GLBL,0.850,06/09/23,+62,USD,1000,,144A 99.941,BJ878835 Corp
06/04,CREDIT AGRI CIB,1.180,06/12/24,,USD,1,CASECS-sole,4C 3MBERM,BJ886280 Corp
06/04,DIOCESE PHOENIX,4.000,06/01/40,,USD,1.6,COUGH-sole,20C CONT,BJ884981 Corp
06/04,DIOCESE PHOENIX,4.000,06/01/39,,USD,1.6,COUGH-sole,19C CONT,BJ884975 Corp
06/04,DIOCESE PHOENIX,4.000,06/01/38,,USD,1.6,COUGH-sole,18C CONT,BJ884970 Corp
06/04,DIOCESE PHOENIX,3.750,06/01/37,,USD,1.4,COUGH-sole,17C CONT,BJ884965 Corp
06/04,DIOCESE PHOENIX,3.750,06/01/36,,USD,1.4,COUGH-sole,16C CONT,BJ884964 Corp
06/04,DIOCESE PHOENIX,3.750,06/01/35,,USD,1.4,COUGH-sole,15C CONT,BJ884963 Corp
06/04,DIOCESE PHOENIX,3.650,06/01/34,,USD,1.4,COUGH-sole,14C CONT,BJ883591 Corp
06/04,DIOCESE PHOENIX,3.550,06/01/33,,USD,1.35,COUGH-sole,13C CONT,BJ883590 Corp
06/04,DIOCESE PHOENIX,3.450,06/01/32,,USD,1.6,COUGH-sole,12C CONT,BJ883589 Corp
06/04,DIOCESE PHOENIX,3.350,06/01/31,,USD,1.6,COUGH-sole,11C CONT,BJ883588 Corp
06/04,DIOCESE PHOENIX,3.250,06/01/30,,USD,1.6,COUGH-sole,10C CONT,BJ883587 Corp
06/04,DIOCESE PHOENIX,3.050,06/01/29,,USD,1.55,COUGH-sole,9C CONT,BJ883586 Corp
06/04,DIOCESE PHOENIX,2.800,06/01/28,,USD,1.55,COUGH-sole,8C CONT,BJ883585 Corp
06/04,DIOCESE PHOENIX,2.650,06/01/27,,USD,1.55,COUGH-sole,7C CONT,BJ883584 Corp
06/04,DIOCESE PHOENIX,2.600,06/01/26,,USD,1.55,COUGH-sole,6C CONT,BJ883573 Corp
06/04,DIOCESE PHOENIX,2.500,06/01/25,,USD,1.55,COUGH-sole,06/15/20,BJ883571 Corp
06/04,DIOCESE PHOENIX,2.250,06/01/24,,USD,0.35,COUGH-sole,06/15/20,BJ883561 Corp
06/04,DIOCESE PHOENIX,2.000,06/01/23,,USD,0.35,COUGH-sole,06/15/20,BJ883554 Corp
06/04,FREDDIE MAC,0.400,12/09/22,,USD,50,FHN-sole,2.5-NC6MOINC,BJ882351 Corp
06/04,FREDDIE MAC,0.390,12/02/22,,USD,50,"PIPR,RJA,VS",2.5-NC1  INC,BJ881221 Corp
06/04,FREDDIE MAC,0.875,06/30/25,,USD,50,JOINT LEADS,5-NC3MO  INC,BJ878840 Corp
06/04,FANNIE MAE,0.770,06/17/25,,USD,25,"AP,MSRW",5-NC1 BERM,BJ883452 Corp
06/04,FED FARM CREDIT,0.520,09/11/23,,USD,265,JOINT LEADS,3.25-NC3MCON,BJ883451 Corp
06/04,PTTEP TREASURY,2.587,06/10/27,+195,USD,500,,7C CONT 144A,BJ868482 Corp
06/04,FARMER MAC,0.470,06/11/24,,USD,5,STFL-sole,4-NC,BJ883445 Corp
06/04,NEW YORK LIFE GL,1.750,06/10/30,+105,USD,100,,06/10/20,BJ883074 Corp
06/04,FED FARM CREDIT,0.480,06/15/23,,USD,390,JOINT LEADS,3-NC6MO CONT,BJ883072 Corp
06/04,FANNIE MAE,0.750,06/11/25,,USD,40,"PIPR,RJA,VS",5-NC1 BERM,BJ882809 Corp
06/04,PALO ALTO NET,0.375,06/01/25,,USD,1.75B,"CITI,MS",06/08/20,BJ848722 Corp
06/04,FREDDIE MAC,0.400,12/09/22,,USD,50,FCS-sole,2.5-NC6MOINC,BJ852055 Corp
06/04,FREDDIE MAC,0.850,06/09/25,,USD,50,"PIPR,RJA,VS",5-NC3MO BERM,BJ880249 Corp
06/04,FREDDIE MAC,0.750,12/11/24,,USD,25,"PIPR,RJA,VS",4.5-NC3MBERM,BJ880232 Corp
06/04,BANCO VOTORANTIM,1.080,09/08/20,,USD,0.5,BANVOT-sole,GMTN 99.9491,BJ879878 Corp
06/03,WPX ENERGY INC,5.875,06/15/28,+524,USD,500,JOINT LEADS,8C CONT,BJ844379 Corp
06/03,BARCLAYS BK PLC,1.500,06/08/22,,USD,90.74,BARCBK-sole,2C 6MBERM,BJ597448 Corp
06/03,BRAZIL REP OF,3.875,06/12/30,+324.3,USD,2.25B,JOINT LEADS,06/10/20,BJ845680 Corp
06/03,BRAZIL REP OF,2.875,06/06/25,+263.1,USD,1.25B,JOINT LEADS,06/10/20,BJ845679 Corp
06/03,CD&R WATERWORKS,6.125,08/15/25,+395,USD,750,JOINT LEADS,INCREASE,AO378411 Corp
06/03,MERITOR INC,6.250,06/01/25,+588,USD,300,,5C CONT 144A,BJ844849 Corp
06/03,FREDDIE MAC,0.250,06/08/22,,USD,2B,"NOM,WFS",2-NC,BJ857697 Corp
06/03,SOUTHWEST AIR,4.750,05/04/23,,USD,1.25B,JOINT LEADS,INCREASE,BJ196152 Corp
06/03,SOUTHWEST AIR,5.125,06/15/27,+453.6,USD,1.3B,JOINT LEADS,7C CONT,BJ845674 Corp
06/03,ROYAL BK CANADA,1.150,06/10/25,+85,USD,1.5B,JOINT LEADS,MTN 06/10/20,BJ844689 Corp
06/03,STEEL DYNAMICS,3.250,01/15/31,+260,USD,500,JOINT LEADS,11C CONT,BJ845648 Corp
06/03,STEEL DYNAMICS,2.400,06/15/25,+210,USD,400,JOINT LEADS,5C CONT,BJ845647 Corp
06/03,AERCAP IRELAND,6.500,07/15/25,+637.3,USD,1.25B,JOINT LEADS,5C CONT,BJ845056 Corp
06/03,TRI POINTE GROUP,5.700,06/15/28,+494,USD,350,JOINT LEADS,8C CONT,BJ847383 Corp
06/03,UNIV OF NOTRE DA,1.637,02/15/30,+87.5,USD,155,"BofA,WFS",10C CONT,BJ857745 Corp
06/03,HARLEY-DAVIDSON,3.350,06/08/25,+300,USD,700,JOINT LEADS,5C CONT 144A,BJ846488 Corp
06/03,SEAGATE HDD CAYM,4.125,01/15/31,+337.5,USD,500,,11C CONT,BJ844837 Corp
06/03,FIRSTENERGY CORP,1.600,01/15/26,+125,USD,300,JOINT LEADS,6C CONT A,BJ844777 Corp
06/03,INT DEV FIN CORP,1.490,08/15/31,,USD,12.5,RWP-sole,2 06/10/20,BJ747022 Corp
06/03,SERVICE PROP,7.500,09/15/25,,USD,800,JOINT LEADS,5C CONT,BJ820080 Corp
06/03,FIRSTENERGY CORP,2.250,09/01/30,+150,USD,450,JOINT LEADS,10C CONT B,BJ844779 Corp
06/03,INTERAMER DEV BK,3.000,02/21/24,+31.25,USD,2.6B,BMO-sole,INCREASE,EK076245 Corp
06/03,FREDDIE MAC,0.430,06/09/23,,USD,100,"FHN,MS",3-NC1 1X INC,BJ851296 Corp
06/03,FREDDIE MAC,0.800,06/11/25,,USD,50,"INCAP,STFL",5-NC6MO  INC,BJ851524 Corp
06/03,CDP FINANCIAL,0.875,06/10/25,+53.8,USD,2.5B,,144A 99.863,BJ816817 Corp
06/03,FREDDIE MAC,0.420,06/16/23,,USD,30,JOINT LEADS,3-NC1 BERM,BJ852741 Corp
06/03,COUNCIL OF EUROP,0.250,06/10/23,+12.4,USD,500,JOINT LEADS,06/10/20,BJ818846 Corp
06/03,FREDDIE MAC,0.550,06/10/24,,USD,25,JOINT LEADS,4-NC2 1X,BJ852380 Corp
06/03,FREDDIE MAC,0.430,06/08/23,,USD,75,RBCCM-sole,3-NC1.5 1INC,BJ851096 Corp
06/03,FREDDIE MAC,0.300,06/08/22,,USD,25,VS-sole,2-NC1 1X,BJ852118 Corp
06/03,FED FARM CREDIT,0.680,06/10/25,,USD,175,JOINT LEADS,5-NC2 CONT,BJ852115 Corp
06/03,FED FARM CREDIT,0.720,09/10/24,,USD,265,JOINT LEADS,4.25-NC3MCON,BJ852113 Corp
06/03,FREDDIE MAC,0.300,06/08/22,,USD,125,JOINT LEADS,2-NC1 1X INC,BJ849682 Corp
06/03,FREDDIE MAC,0.800,06/09/25,,USD,75,"FHN,MS",5-NC6MO BERM,BJ851707 Corp
06/03,FREDDIE MAC,0.450,06/05/23,,USD,110,JOINT LEADS,3-NC9MO  INC,BJ849639 Corp
06/03,FREDDIE MAC,0.300,06/08/22,,USD,45,JOINT LEADS,2-NC1 1X INC,BJ849641 Corp
06/03,FREDDIE MAC,0.650,06/09/25,,USD,55,JOINT LEADS,5-NC2 1X INC,BJ848426 Corp
06/03,FREDDIE MAC,0.350,12/09/22,,USD,50,"FHN,MS",2.5-NC1 1X,BJ850916 Corp
06/03,FED HOME LN BANK,1.650,06/11/31,,USD,30,WFS-sole,11-NC3MOCONT,BJ850831 Corp
06/03,FED HOME LN BANK,0.450,06/15/23,,USD,37,NOM-sole,3-NC3MO CONT,BJ850791 Corp
06/03,FED HOME LN BANK,0.600,06/11/24,,USD,35,JOINT LEADS,4-NC6MO CONT,BJ850742 Corp
06/03,FREDDIE MAC,0.830,06/09/25,,USD,25,"PIPR,RJA,VS",5-NC3MO BERM,BJ849983 Corp
06/03,FREDDIE MAC,0.550,03/11/24,,USD,25,"PIPR,RJA,VS",3.75-NC1BERM,BJ849868 Corp
06/03,FREDDIE MAC,0.320,06/08/22,,USD,50,JOINT LEADS,2-NC6MO BERM,BJ849647 Corp
06/03,FREDDIE MAC,0.500,12/08/23,,USD,25,"INCAP,FCS",3.5-NC1 1X,BJ848800 Corp
06/03,FED HOME LN BANK,1.500,06/10/30,,USD,40,WFS-sole,10-NC6MO INC,BJ721396 Corp
06/03,FED HOME LN BANK,1.070,06/04/27,,USD,130,CITI-sole,7-NC6MO  INC,BJ796073 Corp
06/03,INTERAMER DEV BK,2.000,06/02/26,,USD,2.15B,HSBC-sole,INCREASE,LW223775 Corp
06/03,KOMMUNALBANKEN,FRN,02/24/22,,USD,1.25B,SCOTBK,INCREASE,ZP307052 Corp
06/03,SPLUNK INC,1.125,06/15/27,,USD,1.26B,JOINT LEADS,06/05/20,BJ818753 Corp
06/02,CARNEGIE INSTITU,3.224,07/01/49,+175,USD,100,BofA-sole,29C CONT,BJ829662 Corp
06/02,ENDEAVOR ENERGY,6.625,07/15/25,+627.6,USD,600,JOINT LEADS,5C CONT 144A,BJ818812 Corp
06/02,CITGO PETROLEUM,7.000,06/15/25,,USD,1.13B,,5C CONT 144A,BJ819165 Corp
06/02,MGM GROWTH/MGM F,4.625,06/15/25,+431,USD,800,JOINT LEADS,5C CONT 144A,BJ816409 Corp
06/02,BNP PARIBAS,VAR,06/09/26,+190,USD,2B,,6C CONT 144A,BJ819167 Corp
06/02,CRED SUIS NY,1.000,05/05/23,+88,USD,2B,CS,06/05/20,BJ819414 Corp
06/02,EAST OHIO GAS CO,1.300,06/15/25,+100,USD,500,,5C CONT 144A,BJ822445 Corp
06/02,CREDIT SUISSE,VAR,06/05/26,+188,USD,1.5B,CS-sole,6C CONT 144A,BJ822919 Corp
06/02,CEMEX SAB,7.375,06/05/27,,USD,1000,JOINT LEADS,7C CONT 144A,BJ818838 Corp
06/02,CSC HOLDINGS LLC,4.625,12/01/30,+395,USD,625,,10C CONT,BJ819175 Corp
06/02,EAST OHIO GAS CO,2.000,06/15/30,+135,USD,500,,10C CONT,BJ818827 Corp
06/02,EAST OHIO GAS CO,3.000,06/15/50,+160,USD,800,,30C CONT,BJ818829 Corp
06/02,CSC HOLDINGS LLC,4.125,12/01/30,+345,USD,1.1B,,10C CONT,BJ816239 Corp
06/02,YALE UNIVERSITY,2.402,04/15/50,+93,USD,500,"BCLY,GS,JPM",30C CONT,BJ828258 Corp
06/02,YALE UNIVERSITY,1.482,04/15/30,+80,USD,500,"BCLY,GS,JPM",10C CONT,BJ828253 Corp
06/02,YALE UNIVERSITY,0.873,04/15/25,+55,USD,500,"BCLY,GS,JPM",5C BERM 2020,BJ828248 Corp
06/02,TENET HEALTHCARE,4.625,06/15/28,+407,USD,600,,8C CONT 144A,BJ815992 Corp
06/02,AFFIL MANAGERS,3.300,06/15/30,+262.5,USD,350,JOINT LEADS,10C CONT,BJ819174 Corp
06/02,SVB FINANCIAL GR,3.125,06/05/30,+245,USD,500,"BofA,MS",10C CONT,BJ818842 Corp
06/02,FANNIE MAE,0.710,06/04/25,,USD,40,WFS-sole,5-NC1 BERINC,BJ820226 Corp
06/02,TRUIST FINANCIAL,1.200,08/05/25,+90,USD,750,JOINT LEADS,5C CONT MTN,BJ817838 Corp
06/02,TRUIST FINANCIAL,1.950,06/05/30,+130,USD,750,JOINT LEADS,10C CONT MTN,BJ817840 Corp
06/02,INFOR INC,1.750,07/15/25,+145,USD,650,JOINT LEADS,5C CONT 144A,BJ818455 Corp
06/02,NORDEA BANK,1.000,06/09/23,+83,USD,1000,,144A 99.897,BJ817205 Corp
06/02,REGIONS FINL,VAR,PERPETUAL,,USD,350,JOINT LEADS,0C 1BERM D,BJ818752 Corp
06/02,INFOR INC,1.450,07/15/23,+125,USD,350,JOINT LEADS,144A 99.969,BJ818443 Corp
06/02,BALTIMORE GAS,2.900,06/15/50,+147,USD,400,JOINT LEADS,30C CONT,BJ818832 Corp
06/02,APOLLO MNGMT HLD,2.650,06/05/30,+200,USD,500,JOINT LEADS,10C CONT,BJ818693 Corp
06/02,SANDS CHINA LTD,3.800,01/08/26,+350,USD,800,JOINT LEADS,6C CONT 144A,BJ813433 Corp
06/02,SANDS CHINA LTD,4.375,06/18/30,+375,USD,700,"BA,BARCS,GS",10C CONT,BJ813442 Corp
06/02,PROTECTIVE LIFE,1.082,06/09/23,+87.5,USD,500,,144A,BJ818819 Corp
06/02,FREDDIE MAC,0.500,06/10/24,,USD,25,JOINT LEADS,4-NC2 1X,BJ828167 Corp
06/02,CENTERPOINT HOUS,2.900,07/01/50,+143,USD,300,JOINT LEADS,30C CONT AD,BJ818816 Corp
06/02,FREDDIE MAC,0.550,06/17/24,,USD,35,JOINT LEADS,4-NC1 BERM,BJ828149 Corp
06/02,FREDDIE MAC,0.280,06/08/22,,USD,50,JOINT LEADS,2-NC1 1X,BJ828141 Corp
06/02,FREDDIE MAC,0.375,06/08/23,,USD,80,"FHN,MS",3-NC1 1X INC,BJ809439 Corp
06/02,FREDDIE MAC,0.400,03/08/23,,USD,75,"FHN,MS",2.75-NC6MINC,BJ818851 Corp
06/02,FREDDIE MAC,0.500,12/04/23,,USD,100,JOINT LEADS,3.5-NC6MOINC,BJ809051 Corp
06/02,FREDDIE MAC,FRN,12/08/21,,USD,225,JOINT LEADS,2C BERM,BJ823284 Corp
06/02,EUROPEAN INVT BK,0.250,09/15/23,,USD,5B,JOINT LEADS,06/09/20,BJ808596 Corp
06/02,FED FARM CREDIT,0.500,06/09/25,,USD,90,JOINT LEADS,5-NC,BJ822714 Corp
06/02,FED FARM CREDIT,0.375,06/10/24,,USD,80,JOINT LEADS,4-NC,BJ822679 Corp
06/02,FED FARM CREDIT,0.300,06/08/23,,USD,300,WFS-sole,3-NC,BJ822631 Corp
06/02,FED FARM CREDIT,0.270,06/09/22,,USD,530,JOINT LEADS,2-NC3MO CONT,BJ822564 Corp
06/02,FED FARM CREDIT,0.230,06/09/22,,USD,400,"FHN,JPM,MS",2-NC1 CONT,BJ822489 Corp
06/02,FED FARM CREDIT,1.550,06/11/30,,USD,215,"DB,TDSEC",10-NC3MOCONT,BJ822484 Corp
06/02,FED FARM CREDIT,1.450,06/11/30,,USD,275,"FHN,JPM,MS",10-NC1 CONT,BJ822475 Corp
06/02,FED HOME LN BANK,1.750,06/11/35,,USD,5,RBCCM-sole,15-NC1 CONT,BJ822426 Corp
06/02,FED HOME LN BANK,0.700,06/11/25,,USD,25,JPM-sole,5-NC1 CONT,BJ822419 Corp
06/02,FED HOME LN BANK,1.400,06/11/29,,USD,30,CITI-sole,9-NC3MO CONT,BJ821656 Corp
06/02,FED HOME LN BANK,0.900,06/11/26,,USD,125,"FHN,JPM,MS",6-NC6MO CONT,BJ821230 Corp
06/02,FED HOME LN BANK,0.500,03/11/24,,USD,60,"BNYM,WFS",3.75-NC1CONT,BJ821110 Corp
06/02,FED HOME LN BANK,0.700,09/16/24,,USD,50,JPM-sole,4.25-NC3MCON,BJ820985 Corp
06/02,MIZUHO SECS USA,0.330,10/05/20,,USD,26.25,MIZ-sole,MTN 06/03/20,BJ819905 Corp
06/02,FREDDIE MAC,0.400,03/03/23,,USD,110,JOINT LEADS,2.75-NC6MINC,BJ809055 Corp
06/02,FREDDIE MAC,0.500,12/04/23,,USD,50,"FHN,MS",3.5-NC6MBERM,BJ818845 Corp
06/02,LIVONGO HEALTH,0.875,06/01/25,,USD,550,"GS,JPM,MS",06/04/20,BJ808943 Corp
06/02,HUBSPOT INC,0.375,06/01/25,,USD,460,"BofA,MS",06/04/20,BJ808926 Corp
06/01,AXALTA COAT/BV,4.750,06/15/27,+424,USD,500,,7C CONT 144A,BJ808911 Corp
06/01,COLOMBIA REP OF,4.125,05/15/51,+275,USD,1.5B,JOINT LEADS,31C CONT,BJ809027 Corp
06/01,COLOMBIA REP OF,3.125,04/15/31,+250,USD,1000,JOINT LEADS,11C CONT,BJ809026 Corp
06/01,AMAZON.COM INC,0.800,06/03/25,+50,USD,1.25B,JOINT LEADS,5C CONT,BJ808896 Corp
06/01,AMAZON.COM INC,0.400,06/03/23,+25,USD,1000,JOINT LEADS,06/03/20,BJ808895 Corp
06/01,AMAZON.COM INC,1.200,06/03/27,+70,USD,1.25B,JOINT LEADS,7C CONT,BJ808897 Corp
06/01,AMERICAN TOWER,1.300,09/15/25,+105,USD,500,JOINT LEADS,5C CONT,BJ808891 Corp
06/01,AMAZON.COM INC,2.700,06/03/60,+130,USD,2B,JOINT LEADS,40C CONT,BJ808900 Corp
06/01,AMAZON.COM INC,2.500,06/03/50,+110,USD,2.5B,JOINT LEADS,30C CONT,BJ808899 Corp
06/01,AMERICAN TOWER,2.100,06/15/30,+150,USD,750,JOINT LEADS,10C CONT,BJ808892 Corp
06/01,AMAZON.COM INC,1.500,06/03/30,+85,USD,2B,JOINT LEADS,10C CONT,BJ808898 Corp
06/01,AMERICAN TOWER,3.100,06/15/50,+170,USD,750,JOINT LEADS,30C CONT,BJ808893 Corp
06/01,ALLY FINANCIAL,3.050,06/05/23,+310,USD,800,JOINT LEADS,3C CONT,BJ809012 Corp
06/01,PICASSO FIN SUB,6.125,06/15/25,+582,USD,650,,5C CONT 144A,BJ808813 Corp
06/01,RALPH LAUREN,2.950,06/15/30,+240,USD,750,JOINT LEADS,10C CONT,BJ808904 Corp
06/01,RALPH LAUREN,1.700,06/15/22,+160,USD,500,JOINT LEADS,06/03/20,BJ808903 Corp
06/01,SOUTHWEST GAS,2.200,06/15/30,+155,USD,450,JOINT LEADS,10C CONT,BJ808885 Corp
06/01,JOHN DEERE CAP,0.700,07/05/23,+53,USD,450,JOINT LEADS,MTN 06/04/20,BJ808940 Corp
06/01,JOHN DEERE CAP,0.550,07/05/22,+40,USD,450,JOINT LEADS,MTN 06/04/20,BJ808939 Corp
06/01,PACCAR FINL CORP,0.800,06/08/23,+65,USD,300,JOINT LEADS,MTN 06/08/20,BJ808894 Corp
06/01,MET LIFE GLOB,0.900,06/08/23,+75,USD,1000,,144A 99.855,BJ808922 Corp
06/01,PECO ENERGY CO,2.800,06/15/50,+135,USD,350,JOINT LEADS,30C CONT,BJ808938 Corp
